Sr. No.,Symbol,Company Name
359,POLARIS,POLARIS CONSULTING & SERVICES LIMITED
360,MONSANTO,MONSANTO INDIA LIMITED
361,APLAPOLLO,APL APOLLO TUBES LIMITED
362,KIRLOSENG,KIRLOSKAR OIL ENGINES LIMITED
363,SUNDARMHLD,SUNDARAM FINANCE HOLDINGS LIMITED
364,KPRMILL,K.P.R. MILL LIMITED
365,SADBHIN,SADBHAV INFRASTRUCTURE PROJECT LIMITED
366,ASHOKA,ASHOKA BUILDCON LIMITED
367,VINATIORGA,VINATI ORGANICS LIMITED
368,RALLIS,RALLIS INDIA LIMITED
369,SHOPERSTOP,SHOPPERS STOP LIMITED
370,IFBIND,IFB INDUSTRIES LIMITED
371,ZYDUSWELL,ZYDUS WELLNESS LIMITED
372,JPASSOCIAT,JAIPRAKASH ASSOCIATES LIMITED
373,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED
374,GULFOILLUB,GULF OIL LUBRICANTS INDIA LIMITED
375,VSTIND,VST INDUSTRIES LIMITED
376,VIPIND,VIP INDUSTRIES LIMITED
377,PNCINFRA,PNC INFRATECH LIMITED
378,CERA,CERA SANITARYWARE LIMITED
379,FDC,FDC LIMITED
380,RADICO,RADICO KHAITAN LIMITED
381,INDIACEM,THE INDIA CEMENTS LIMITED
382,SWANENERGY,SWAN ENERGY LIMITED
383,BEML,BEML LIMITED
384,CAPLIPOINT,CAPLIN POINT LABORATORIES LIMITED
385,LUXIND,LUX INDUSTRIES LIMITED
386,KPIT,KPIT TECHNOLOGIES LIMITED
387,GODFRYPHLP,GODFREY PHILLIPS INDIA LIMITED
388,MANPASAND,MANPASAND BEVERAGES LIMITED
389,TECHNO,TECHNO ELECTRIC & ENGINEERING COMPANY LIMITED
390,TIINDIA,TUBE INVESTMENTS OF INDIA LIMITED
391,UJJIVAN,UJJIVAN FINANCIAL SERVICES LIMITED
392,SOUTHBANK,THE SOUTH INDIAN BANK LIMITED
393,BSE,BSE LIMITED
394,ZENSARTECH,ZENSAR TECHNOLOGIES LIMITED
395,TATAINVEST,TATA INVESTMENT CORPORATION LIMITED
396,RCF,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED
397,OMAXE,OMAXE LIMITED
398,UCOBANK,UCO BANK
399,COX&KINGS,COX & KINGS LIMITED
400,SHANKARA,SHANKARA BUILDING PRODUCTS LIMITED
401,ELGIEQUIP,ELGI EQUIPMENTS LIMITED
402,KNRCON,KNR CONSTRUCTIONS LIMITED
403,RATNAMANI,RATNAMANI METALS & TUBES LIMITED
404,ALBK,ALLAHABAD BANK
405,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED
406,MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED
407,ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED
408,SUPRAJIT,SUPRAJIT ENGINEERING LIMITED
409,NESCO,NESCO LIMITED
410,NAVINFLUOR,NAVIN FLUORINE INTERNATIONAL LIMITED
411,TEAMLEASE,TEAMLEASE SERVICES LIMITED
412,JINDALSAW,JINDAL SAW LIMITED
413,ESSELPACK,ESSEL PROPACK LIMITED
414,SHK,S H KELKAR AND COMPANY LIMITED
415,PHILIPCARB,PHILLIPS CARBON BLACK LIMITED
416,GREENPLY,GREENPLY INDUSTRIES LIMITED
417,LINDEINDIA,LINDE INDIA LIMITED
418,JSLHISAR,JINDAL STAINLESS (HISAR) LIMITED
419,DIXON,DIXON TECHNOLOGIES (INDIA) LIMITED
420,SHILPAMED,SHILPA MEDICARE LIMITED
421,MINDACORP,MINDA CORPORATION LIMITED
422,CCL,CCL PRODUCTS (INDIA) LIMITED
423,SREINFRA,SREI INFRASTRUCTURE FINANCE LIMITED
424,JKTYRE,JK TYRE & INDUSTRIES LIMITED
425,FSL,FIRSTSOURCE SOLUTIONS LIMITED
426,ANDHRABANK,ANDHRA BANK
427,TIMETECHNO,TIME TECHNOPLAST LIMITED
428,ALLCARGO,ALLCARGO LOGISTICS LIMITED
429,JSL,JINDAL STAINLESS LIMITED
430,ICRA,ICRA LIMITED
431,MAGMA,MAGMA FINCORP LIMITED
432,WELCORP,WELSPUN CORP LIMITED
433,GAYAPROJ,GAYATRI PROJECTS LIMITED
434,CARERATING,CARE RATINGS LIMITED
435,ENIL,ENTERTAINMENT NETWORK (INDIA) LIMITED
436,REPCOHOME,REPCO HOME FINANCE LIMITED
437,CORPBANK,CORPORATION BANK
438,VRLLOG,VRL LOGISTICS LIMITED
439,RANEHOLDIN,RANE HOLDINGS LIMITED
440,MAHLOG,MAHINDRA LOGISTICS LIMITED
441,HIMATSEIDE,HIMATSINGKA SEIDE LIMITED
442,SHARDACROP,SHARDA CROPCHEM LIMITED
443,VMART,V-MART RETAIL LIMITED
444,SHRIPISTON,SHRIRAM PISTONS & RINGS LIMITED
445,SPTL,SINTEX PLASTICS TECHNOLOGY LIMITED
446,AMBER,AMBER ENTERPRISES INDIA LIMITED
447,J&KBANK,THE JAMMU & KASHMIR BANK LIMITED
448,BRIGADE,BRIGADE ENTERPRISES LIMITED
449,NAVNETEDUL,NAVNEET EDUCATION LIMITED
450,EXCELCROP,EXCEL CROP CARE LIMITED
451,TRITURBINE,TRIVENI TURBINE LIMITED
452,PURVA,PURAVANKARA LIMITED
453,TEJASNET,TEJAS NETWORKS LIMITED
454,SONATSOFTW,SONATA SOFTWARE LIMITED
455,IFCI,IFCI LIMITED
456,KTKBANK,THE KARNATAKA BANK LIMITED
457,MASFIN,MAS FINANCIAL SERVICES LIMITED
458,DEEPAKNTR,DEEPAK NITRITE LIMITED
459,HERITGFOOD,HERITAGE FOODS LIMITED
460,HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED
461,THYROCARE,THYROCARE TECHNOLOGIES LIMITED
462,HFCL,HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED
463,KSCL,KAVERI SEED COMPANY LIMITED
464,LAOPALA,LA OPALA RG LIMITED
465,ORIENTBANK,ORIENTAL BANK OF COMMERCE
466,NOCIL,NOCIL LIMITED
467,JAMNAAUTO,JAMNA AUTO INDUSTRIES LIMITED
468,SUPPETRO,SUPREME PETROCHEM LIMITED
469,DIAMONDYD,PRATAAP SNACKS LIMITED
470,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LIMITED
471,TRIDENT,TRIDENT LIMITED
472,KEI,KEI INDUSTRIES LIMITED
473,SCI,SHIPPING CORPORATION OF INDIA LIMITED
474,JUSTDIAL,JUST DIAL LIMITED
475,SANGHIIND,SANGHI INDUSTRIES LIMITED
476,RUPA,RUPA & COMPANY LIMITED
477,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED
478,TVTODAY,TV TODAY NETWORK LIMITED
479,GREENLAM,GREENLAM INDUSTRIES LIMITED
480,RHFL,RELIANCE HOME FINANCE LIMITED
481,ORIENTCEM,ORIENT CEMENT LIMITED
482,JPPOWER,JAIPRAKASH POWER VENTURES LIMITED
483,MAHSEAMLES,MAHARASHTRA SEAMLESS LIMITED
484,BEPL,BHANSALI ENGINEERING POLYMERS LIMITED
485,SIYSIL,SIYARAM SILK MILLS LIMITED
486,SOMANYCERA,SOMANY CERAMICS LIMITED
487,HATHWAY,HATHWAY CABLE & DATACOM LIMITED
488,APARINDS,APAR INDUSTRIES LIMITED
489,GREAVESCOT,GREAVES COTTON LIMITED
490,KSBPUMPS,KSB PUMPS LIMITED
491,EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED
492,DAAWAT,LT FOODS LIMITED
493,WHEELS,WHEELS INDIA LIMITED
494,DHANUKA,DHANUKA AGRITECH LIMITED
495,ITDCEM,ITD CEMENTATION INDIA LIMITED
496,HSIL,HSIL LIMITED
497,WABAG,VA TECH WABAG LIMITED
498,FSC,FUTURE SUPPLY CHAIN SOLUTIONS LIMITED
499,NFL,NATIONAL FERTILIZERS LIMITED
500,SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED
